2822.00,刺刀（★） | 伽玛多普勒 (崭新出厂)
835.00,刺刀（★） | 北方森林 (久经沙场)
830.00,刺刀（★） | 北方森林 (战痕累累)
1019.87,刺刀（★） | 北方森林 (略有磨损)
859.33,刺刀（★） | 北方森林 (破损不堪)
969.00,刺刀（★） | 噩梦之夜 (久经沙场)
999.00,刺刀（★） | 噩梦之夜 (战痕累累)
1022.92,刺刀（★） | 外表生锈 (战痕累累)
2270.99,刺刀（★） | 多普勒 (崭新出厂)
2218.78,刺刀（★） | 多普勒 (略有磨损)
1275.00,刺刀（★） | 大马士革钢 (久经沙场)
1589.00,刺刀（★） | 大马士革钢 (崭新出厂)
1446.45,刺刀（★） | 大马士革钢 (略有磨损)
1715.00,刺刀（★） | 屠夫 (久经沙场)
2066.00,刺刀（★） | 屠夫 (略有磨损)
844.00,刺刀（★） | 枯焦之色 (久经沙场)
848.90,刺刀（★） | 枯焦之色 (战痕累累)
975.00,刺刀（★） | 枯焦之色 (略有磨损)
850.00,刺刀（★） | 森林 DDPAT (久经沙场)
1020.00,刺刀（★） | 森林 DDPAT (略有磨损)
1352.64,刺刀（★） | 深红之网 (久经沙场)
1320.00,刺刀（★） | 深红之网 (战痕累累)
2341.66,刺刀（★） | 深红之网 (略有磨损)
1297.70,刺刀（★） | 深红之网 (破损不堪)
3593.40,刺刀（★） | 渐变之色 (崭新出厂)
3100.00,刺刀（★） | 渐变大理石 (崭新出厂)
1198.99,刺刀（★） | 澄澈之水 (久经沙场)
1608.99,刺刀（★） | 澄澈之水 (崭新出厂)
1125.00,刺刀（★） | 澄澈之水 (战痕累累)
1339.00,刺刀（★） | 澄澈之水 (略有磨损)
1106.89,刺刀（★） | 澄澈之水 (破损不堪)
822.00,刺刀（★） | 狩猎网格 (久经沙场)
898.80,刺刀（★） | 狩猎网格 (略有磨损)
2158.00,刺刀（★） | 自动化 (久经沙场)
4350.00,刺刀（★） | 自动化 (崭新出厂)
1812.18,刺刀（★） | 自动化 (战痕累累)
2679.99,刺刀（★） | 自动化 (略有磨损)
1285.00,刺刀（★） | 自由之手 (久经沙场)
1645.00,刺刀（★） | 自由之手 (崭新出厂)
1475.00,刺刀（★） | 自由之手 (略有磨损)
1135.00,刺刀（★） | 自由之手 (破损不堪)
938.99,刺刀（★） | 致命紫罗兰 (久经沙场)
925.54,刺刀（★） | 致命紫罗兰 (战痕累累)
1336.00,刺刀（★） | 致命紫罗兰 (略有磨损)
926.00,刺刀（★） | 致命紫罗兰 (破损不堪)
1170.00,刺刀（★） | 蓝钢 (久经沙场)
1112.00,刺刀（★） | 蓝钢 (战痕累累)
1400.00,刺刀（★） | 蓝钢 (略有磨损)
1127.00,刺刀（★） | 蓝钢 (破损不堪)
2336.32,刺刀（★） | 虎牙 (崭新出厂)
2450.00,刺刀（★） | 虎牙 (略有磨损)
1533.45,刺刀（★） | 表面淬火 (久经沙场)
1948.00,刺刀（★） | 表面淬火 (略有磨损)
1339.50,刺刀（★） | 表面淬火 (破损不堪)
864.90,刺刀（★） | 都市伪装 (久经沙场)
836.82,刺刀（★） | 都市伪装 (战痕累累)
1048.00,刺刀（★） | 都市伪装 (略有磨损)
1409.75,刺刀（★） | 黑色层压板 (久经沙场)
1347.00,刺刀（★） | 黑色层压板 (战痕累累)
1480.00,刺刀（★） | 黑色层压板 (略有磨损)
1303.00,刺刀（★） | 黑色层压板 (破损不堪)
888.00,弯刀（★ StatTrak™） | 人工染色 (略有磨损)
1188.00,弯刀（★ StatTrak™） | 传说 (略有磨损)
1521.00,弯刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)
998.00,弯刀（★ StatTrak™） | 大马士革钢 (崭新出厂)
445.00,弯刀（★ StatTrak™） | 森林 DDPAT (久经沙场)
1342.66,弯刀（★ StatTrak™） | 渐变之色 (崭新出厂)
620.00,弯刀（★ StatTrak™） | 澄澈之水 (破损不堪)
500.00,弯刀（★ StatTrak™） | 狩猎网格 (久经沙场)
900.00,弯刀（★ StatTrak™） | 自动化 (久经沙场)
600.00,弯刀（★ StatTrak™） | 致命紫罗兰 (久经沙场)
566.00,弯刀（★ StatTrak™） | 黑色层压板 (战痕累累)
648.00,弯刀（★ StatTrak™） | 黑色层压板 (略有磨损)
410.50,弯刀（★） | 人工染色 (久经沙场)
498.50,弯刀（★） | 人工染色 (战痕累累)
462.57,弯刀（★） | 人工染色 (略有磨损)
780.00,弯刀（★） | 传说 (久经沙场)
1139.00,弯刀（★） | 传说 (崭新出厂)
908.00,弯刀（★） | 传说 (略有磨损)
1287.00,弯刀（★） | 伽玛多普勒 (崭新出厂)
1450.00,弯刀（★） | 伽玛多普勒 (略有磨损)
443.42,弯刀（★） | 北方森林 (久经沙场)
400.00,弯刀（★） | 北方森林 (战痕累累)
448.00,弯刀（★） | 噩梦之夜 (战痕累累)
398.50,弯刀（★） | 外表生锈 (战痕累累)
550.00,弯刀（★） | 外表生锈 (破损不堪)
1198.90,弯刀（★） | 多普勒 (崭新出厂)
578.00,弯刀（★） | 大马士革钢 (久经沙场)
710.00,弯刀（★） | 大马士革钢 (崭新出厂)
590.00,弯刀（★） | 大马士革钢 (破损不堪)
940.00,弯刀（★） | 屠夫 (崭新出厂)
847.80,弯刀（★） | 屠夫 (略有磨损)
447.60,弯刀（★） | 枯焦之色 (略有磨损)
455.00,弯刀（★） | 森林 DDPAT (略有磨损)
677.49,弯刀（★） | 深红之网 (久经沙场)
1120.99,弯刀（★） | 渐变之色 (崭新出厂)
1083.88,弯刀（★） | 渐变大理石 (崭新出厂)
506.50,弯刀（★） | 澄澈之水 (久经沙场)
659.00,弯刀（★） | 澄澈之水 (崭新出厂)
560.00,弯刀（★） | 澄澈之水 (略有磨损)
405.00,弯刀（★） | 狩猎网格 (久经沙场)
405.00,弯刀（★） | 狩猎网格 (战痕累累)
710.00,弯刀（★） | 自动化 (久经沙场)
899.00,弯刀（★） | 自动化 (略有磨损)
587.00,弯刀（★） | 自由之手 (久经沙场)
705.00,弯刀（★） | 自由之手 (崭新出厂)
640.00,弯刀（★） | 自由之手 (略有磨损)
