M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)max 2305.13 M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)buff 1570 735.130
弯刀（★） | 外表生锈 (战痕累累)max 529.97 弯刀（★） | 外表生锈 (战痕累累)buff 396.5 133.470
弯刀（★） | 外表生锈 (破损不堪)max 585.36 弯刀（★） | 外表生锈 (破损不堪)buff 449.49 135.870
弯刀（★） | 多普勒 (崭新出厂)max 1508.22 弯刀（★） | 多普勒 (崭新出厂)buff 1174 334.220
弯刀（★） | 大马士革钢 (久经沙场)max 775.28 弯刀（★） | 大马士革钢 (久经沙场)buff 557.5 217.780
弯刀（★） | 大马士革钢 (崭新出厂)max 959.65 弯刀（★） | 大马士革钢 (崭新出厂)buff 691.5 268.150
弯刀（★） | 大马士革钢 (破损不堪)max 786.99 弯刀（★） | 大马士革钢 (破损不堪)buff 537 249.990
弯刀（★） | 屠夫 (崭新出厂)igxe 940.00 弯刀（★） | 屠夫 (崭新出厂)max 1341.71 -401.710
弯刀（★） | 屠夫 (略有磨损)igxe 847.80 弯刀（★） | 屠夫 (略有磨损)max 1145.83 -298.030
弯刀（★） | 枯焦之色 (略有磨损)max 572.05 弯刀（★） | 枯焦之色 (略有磨损)buff 419 153.050
弯刀（★） | 森林 DDPAT (久经沙场)max 527.76 弯刀（★） | 森林 DDPAT (久经沙场)buff 401.5 126.260
弯刀（★） | 森林 DDPAT (略有磨损)max 591.85 弯刀（★） | 森林 DDPAT (略有磨损)buff 427.5 164.350
弯刀（★） | 深红之网 (久经沙场)max 912.29 弯刀（★） | 深红之网 (久经沙场)igxe 677.49 234.800
弯刀（★） | 渐变之色 (崭新出厂)max 1415.83 弯刀（★） | 渐变之色 (崭新出厂)buff 1085 330.830
弯刀（★） | 渐变大理石 (崭新出厂)max 1452.49 弯刀（★） | 渐变大理石 (崭新出厂)buff 1074 378.490
弯刀（★） | 澄澈之水 (久经沙场)max 686.91 弯刀（★） | 澄澈之水 (久经沙场)buff 504 182.910
弯刀（★） | 澄澈之水 (崭新出厂)max 863.79 弯刀（★） | 澄澈之水 (崭新出厂)buff 588 275.790
弯刀（★） | 澄澈之水 (略有磨损)max 805.25 弯刀（★） | 澄澈之水 (略有磨损)buff 555 250.250
弯刀（★） | 狩猎网格 (久经沙场)max 492.37 弯刀（★） | 狩猎网格 (久经沙场)buff 385 107.370
弯刀（★） | 狩猎网格 (战痕累累)max 562.48 弯刀（★） | 狩猎网格 (战痕累累)buff 398.4 164.080
弯刀（★） | 自动化 (久经沙场)max 934.23 弯刀（★） | 自动化 (久经沙场)buff 698.5 235.730
弯刀（★） | 自动化 (略有磨损)igxe 899.00 弯刀（★） | 自动化 (略有磨损)max 1154.93 -255.930
弯刀（★） | 自由之手 (久经沙场)max 775.28 弯刀（★） | 自由之手 (久经沙场)buff 560.5 214.780
弯刀（★） | 自由之手 (崭新出厂)max 991.09 弯刀（★） | 自由之手 (崭新出厂)buff 683.9 307.190
弯刀（★） | 自由之手 (略有磨损)max 902.92 弯刀（★） | 自由之手 (略有磨损)buff 608 294.920
弯刀（★） | 自由之手 (破损不堪)max 866.20 弯刀（★） | 自由之手 (破损不堪)buff 595.67 270.530
弯刀（★） | 致命紫罗兰 (久经沙场)max 677.94 弯刀（★） | 致命紫罗兰 (久经沙场)buff 468.9 209.040
弯刀（★） | 致命紫罗兰 (战痕累累)max 573.52 弯刀（★） | 致命紫罗兰 (战痕累累)buff 420 153.520
弯刀（★） | 致命紫罗兰 (略有磨损)max 819.37 弯刀（★） | 致命紫罗兰 (略有磨损)buff 598.99 220.380
弯刀（★） | 致命紫罗兰 (破损不堪)max 647.37 弯刀（★） | 致命紫罗兰 (破损不堪)buff 459.99 187.380
弯刀（★） | 蓝钢 (略有磨损)max 795.35 弯刀（★） | 蓝钢 (略有磨损)buff 529 266.350
弯刀（★） | 蓝钢 (破损不堪)max 674.13 弯刀（★） | 蓝钢 (破损不堪)buff 489.99 184.140
弯刀（★） | 虎牙 (崭新出厂)igxe 916.75 弯刀（★） | 虎牙 (崭新出厂)max 1280.96 -364.210
弯刀（★） | 表面淬火 (久经沙场)max 892.22 弯刀（★） | 表面淬火 (久经沙场)buff 601 291.220
弯刀（★） | 表面淬火 (崭新出厂)max 1631.58 弯刀（★） | 表面淬火 (崭新出厂)buff 1274.97 356.610
弯刀（★） | 表面淬火 (战痕累累)igxe 717.95 弯刀（★） | 表面淬火 (战痕累累)buff 580 137.950
弯刀（★） | 表面淬火 (略有磨损)igxe 726.00 弯刀（★） | 表面淬火 (略有磨损)max 1030.03 -304.030
弯刀（★） | 表面淬火 (破损不堪)max 848.13 弯刀（★） | 表面淬火 (破损不堪)buff 579.47 268.660
弯刀（★） | 都市伪装 (久经沙场)max 550.44 弯刀（★） | 都市伪装 (久经沙场)igxe 411.50 138.940
弯刀（★） | 都市伪装 (战痕累累)max 571.98 弯刀（★） | 都市伪装 (战痕累累)buff 400 171.980
弯刀（★） | 都市伪装 (略有磨损)max 606.83 弯刀（★） | 都市伪装 (略有磨损)buff 474.5 132.330
弯刀（★） | 都市伪装 (破损不堪)max 573.25 弯刀（★） | 都市伪装 (破损不堪)buff 400 173.250
弯刀（★） | 黑色层压板 (久经沙场)max 645.50 弯刀（★） | 黑色层压板 (久经沙场)buff 460 185.500
弯刀（★） | 黑色层压板 (崭新出厂)igxe 950.00 弯刀（★） | 黑色层压板 (崭新出厂)max 1021.67 -71.670
弯刀（★） | 黑色层压板 (战痕累累)max 661.89 弯刀（★） | 黑色层压板 (战痕累累)buff 454 207.890
弯刀（★） | 黑色层压板 (略有磨损)max 713.27 弯刀（★） | 黑色层压板 (略有磨损)buff 490 223.270
折刀（★ StatTrak™） | 北方森林 (久经沙场)max 465.14 折刀（★ StatTrak™） | 北方森林 (久经沙场)buff 339.99 125.150
折刀（★ StatTrak™） | 多普勒 (崭新出厂)igxe 730.00 折刀（★ StatTrak™） | 多普勒 (崭新出厂)max 1108.77 -378.770
折刀（★ StatTrak™） | 屠夫 (略有磨损)max 890.01 折刀（★ StatTrak™） | 屠夫 (略有磨损)buff 566.65 323.360
折刀（★ StatTrak™） | 枯焦之色 (久经沙场)max 472.63 折刀（★ StatTrak™） | 枯焦之色 (久经沙场)buff 353.4 119.230
折刀（★ StatTrak™） | 森林 DDPAT (久经沙场)max 486.15 折刀（★ StatTrak™） | 森林 DDPAT (久经沙场)buff 318 168.150
折刀（★ StatTrak™） | 深红之网 (略有磨损)buff 823.99 折刀（★ StatTrak™） | 深红之网 (略有磨损)max 1085.82 -261.830
折刀（★ StatTrak™） | 渐变之色 (崭新出厂)buff 730 折刀（★ StatTrak™） | 渐变之色 (崭新出厂)igxe 1099.00 -369.000
折刀（★ StatTrak™） | 狩猎网格 (久经沙场)max 457.18 折刀（★ StatTrak™） | 狩猎网格 (久经沙场)buff 328.34 128.840
折刀（★ StatTrak™） | 蓝钢 (战痕累累)max 550.30 折刀（★ StatTrak™） | 蓝钢 (战痕累累)igxe 519.99 30.310
折刀（★ StatTrak™） | 蓝钢 (略有磨损)max 594.39 折刀（★ StatTrak™） | 蓝钢 (略有磨损)buff 449.99 144.400
折刀（★）max 441.93 折刀（★）max 441.93 0.000
折刀（★） | 人工染色 (战痕累累)max 458.92 折刀（★） | 人工染色 (战痕累累)buff 331.8 127.120
折刀（★） | 北方森林 (久经沙场)max 427.75 折刀（★） | 北方森林 (久经沙场)buff 314.5 113.250
折刀（★） | 北方森林 (崭新出厂)max 1348.40 折刀（★） | 北方森林 (崭新出厂)max 1348.40 0.000
折刀（★） | 外表生锈 (战痕累累)max 409.55 折刀（★） | 外表生锈 (战痕累累)buff 312.9 96.650
折刀（★） | 多普勒 (崭新出厂)max 792.14 折刀（★） | 多普勒 (崭新出厂)buff 585 207.140
折刀（★） | 夜色 (久经沙场)max 421.99 折刀（★） | 夜色 (久经沙场)igxe 316.00 105.990
折刀（★） | 夜色 (战痕累累)max 428.62 折刀（★） | 夜色 (战痕累累)buff 313.5 115.120
折刀（★） | 大马士革钢 (久经沙场)max 439.19 折刀（★） | 大马士革钢 (久经沙场)buff 330 109.190
折刀（★） | 大马士革钢 (崭新出厂)max 505.55 折刀（★） | 大马士革钢 (崭新出厂)buff 375 130.550
折刀（★） | 屠夫 (久经沙场)max 674.53 折刀（★） | 屠夫 (久经沙场)buff 485 189.530
折刀（★） | 屠夫 (崭新出厂)max 768.66 折刀（★） | 屠夫 (崭新出厂)buff 552 216.660
折刀（★） | 屠夫 (略有磨损)max 690.86 折刀（★） | 屠夫 (略有磨损)buff 497.2 193.660
折刀（★） | 枯焦之色 (战痕累累)max 410.29 折刀（★） | 枯焦之色 (战痕累累)buff 317 93.290
折刀（★） | 枯焦之色 (略有磨损)max 429.08 折刀（★） | 枯焦之色 (略有磨损)buff 334.47 94.610
折刀（★） | 枯焦之色 (破损不堪)max 427.88 折刀（★） | 枯焦之色 (破损不堪)buff 346.47 81.410
折刀（★） | 森林 DDPAT (久经沙场)max 424.60 折刀（★） | 森林 DDPAT (久经沙场)igxe 300.00 124.600
折刀（★） | 深红之网 (略有磨损)max 755.08 折刀（★） | 深红之网 (略有磨损)buff 537 218.080
折刀（★） | 渐变之色 (崭新出厂)max 943.93 折刀（★） | 渐变之色 (崭新出厂)buff 693 250.930
折刀（★） | 渐变大理石 (崭新出厂)max 767.92 折刀（★） | 渐变大理石 (崭新出厂)buff 583 184.920
折刀（★） | 狩猎网格 (久经沙场)max 399.38 折刀（★） | 狩猎网格 (久经沙场)buff 310.9 88.480
折刀（★） | 致命紫罗兰 (久经沙场)max 468.89 折刀（★） | 致命紫罗兰 (久经沙场)buff 345.5 123.390
折刀（★） | 致命紫罗兰 (战痕累累)max 437.45 折刀（★） | 致命紫罗兰 (战痕累累)buff 330 107.450
折刀（★） | 致命紫罗兰 (略有磨损)max 539.47 折刀（★） | 致命紫罗兰 (略有磨损)buff 400.46 139.010
折刀（★） | 蓝钢 (略有磨损)max 481.73 折刀（★） | 蓝钢 (略有磨损)buff 358.99 122.740
折刀（★） | 蓝钢 (破损不堪)max 451.56 折刀（★） | 蓝钢 (破损不堪)buff 333 118.560
折刀（★） | 虎牙 (崭新出厂)max 666.44 折刀（★） | 虎牙 (崭新出厂)igxe 506.96 159.480
折刀（★） | 表面淬火 (久经沙场)max 609.57 折刀（★） | 表面淬火 (久经沙场)igxe 448.60 160.970
折刀（★） | 表面淬火 (崭新出厂)buff 760 折刀（★） | 表面淬火 (崭新出厂)max 1875.49 -1115.490
折刀（★） | 表面淬火 (战痕累累)max 575.46 折刀（★） | 表面淬火 (战痕累累)buff 412.98 162.480
折刀（★） | 表面淬火 (略有磨损)max 690.99 折刀（★） | 表面淬火 (略有磨损)buff 498.5 192.490
折刀（★） | 表面淬火 (破损不堪)max 559.67 折刀（★） | 表面淬火 (破损不堪)buff 420 139.670
折叠刀（★ StatTrak™）buff 924.5 折叠刀（★ StatTrak™）max 1289.46 -364.960
折叠刀（★ StatTrak™） | 传说 (久经沙场)max 1887.80 折叠刀（★ StatTrak™） | 传说 (久经沙场)buff 1325 562.800
折叠刀（★ StatTrak™） | 传说 (崭新出厂)max 3357.61 折叠刀（★ StatTrak™） | 传说 (崭新出厂)buff 2461.5 896.110
折叠刀（★ StatTrak™） | 传说 (略有磨损)max 2864.44 折叠刀（★ StatTrak™） | 传说 (略有磨损)buff 1729.5 1134.940
折叠刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)max 3842.09 折叠刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)buff 2000 1842.090
折叠刀（★ StatTrak™） | 多普勒 (崭新出厂)max 2173.78 折叠刀（★ StatTrak™） | 多普勒 (崭新出厂)buff 1515 658.780
折叠刀（★ StatTrak™） | 大马士革钢 (久经沙场)igxe 750.00 折叠刀（★ StatTrak™） | 大马士革钢 (久经沙场)max 1016.45 -266.450
折叠刀（★ StatTrak™） | 屠夫 (略有磨损)max 2296.24 折叠刀（★ StatTrak™） | 屠夫 (略有磨损)buff 1520 776.240
折叠刀（★ StatTrak™） | 枯焦之色 (久经沙场)max 811.67 折叠刀（★ StatTrak™） | 枯焦之色 (久经沙场)buff 547 264.670
折叠刀（★ StatTrak™） | 森林 DDPAT (久经沙场)max 870.14 折叠刀（★ StatTrak™） | 森林 DDPAT (久经沙场)buff 594.99 275.150
折叠刀（★ StatTrak™） | 渐变之色 (崭新出厂)max 4342.69 折叠刀（★ StatTrak™） | 渐变之色 (崭新出厂)igxe 2629.00 1713.690
折叠刀（★ StatTrak™） | 澄澈之水 (久经沙场)igxe 850.00 折叠刀（★ StatTrak™） | 澄澈之水 (久经沙场)max 1142.48 -292.480
折叠刀（★ StatTrak™） | 澄澈之水 (崭新出厂)buff 959 折叠刀（★ StatTrak™） | 澄澈之水 (崭新出厂)igxe 1230.00 -271.000
折叠刀（★ StatTrak™） | 澄澈之水 (略有磨损)igxe 882.73 折叠刀（★ StatTrak™） | 澄澈之水 (略有磨损)max 1330.47 -447.740
折叠刀（★ StatTrak™） | 自动化 (久经沙场)max 1759.75 折叠刀（★ StatTrak™） | 自动化 (久经沙场)buff 1140 619.750
折叠刀（★ StatTrak™） | 自动化 (略有磨损)max 2392.01 折叠刀（★ StatTrak™） | 自动化 (略有磨损)buff 1409 983.010
折叠刀（★ StatTrak™） | 致命紫罗兰 (略有磨损)max 2164.08 折叠刀（★ StatTrak™） | 致命紫罗兰 (略有磨损)buff 1040 1124.080
折叠刀（★ StatTrak™） | 蓝钢 (略有磨损)igxe 888.00 折叠刀（★ StatTrak™） | 蓝钢 (略有磨损)max 1471.76 -583.760
折叠刀（★ StatTrak™） | 虎牙 (崭新出厂)max 2066.88 折叠刀（★ StatTrak™） | 虎牙 (崭新出厂)buff 1479 587.880
折叠刀（★ StatTrak™） | 表面淬火 (久经沙场)igxe 995.00 折叠刀（★ StatTrak™） | 表面淬火 (久经沙场)max 1382.05 -387.050
折叠刀（★ StatTrak™） | 黑色层压板 (战痕累累)igxe 899.00 折叠刀（★ StatTrak™） | 黑色层压板 (战痕累累)max 1241.23 -342.230
折叠刀（★ StatTrak™） | 黑色层压板 (略有磨损)igxe 920.00 折叠刀（★ StatTrak™） | 黑色层压板 (略有磨损)max 3402.70 -2482.700
折叠刀（★ StatTrak™） | 黑色层压板 (破损不堪)igxe 825.00 折叠刀（★ StatTrak™） | 黑色层压板 (破损不堪)max 1685.43 -860.430
折叠刀（★）buff 916 折叠刀（★）max 1215.80 -299.800
折叠刀（★） | 人工染色 (久经沙场)max 846.33 折叠刀（★） | 人工染色 (久经沙场)buff 628 218.330
折叠刀（★） | 人工染色 (略有磨损)max 927.81 折叠刀（★） | 人工染色 (略有磨损)buff 668 259.810
折叠刀（★） | 传说 (久经沙场)max 1841.90 折叠刀（★） | 传说 (久经沙场)buff 1328.5 513.400
折叠刀（★） | 传说 (崭新出厂)max 3027.14 折叠刀（★） | 传说 (崭新出厂)buff 2299.5 727.640
折叠刀（★） | 传说 (破损不堪)max 1624.15 折叠刀（★） | 传说 (破损不堪)buff 1200 424.150
折叠刀（★） | 伽玛多普勒 (崭新出厂)max 2561.26 折叠刀（★） | 伽玛多普勒 (崭新出厂)buff 1855 706.260
折叠刀（★） | 北方森林 (久经沙场)max 779.30 折叠刀（★） | 北方森林 (久经沙场)buff 540 239.300
折叠刀（★） | 北方森林 (战痕累累)max 830.27 折叠刀（★） | 北方森林 (战痕累累)buff 525 305.270
折叠刀（★） | 北方森林 (略有磨损)max 809.13 折叠刀（★） | 北方森林 (略有磨损)buff 598.9 210.230
折叠刀（★） | 噩梦之夜 (久经沙场)max 969.22 折叠刀（★） | 噩梦之夜 (久经沙场)buff 673 296.220
折叠刀（★） | 外表生锈 (战痕累累)max 770.13 折叠刀（★） | 外表生锈 (战痕累累)igxe 617.00 153.130
折叠刀（★） | 外表生锈 (破损不堪)igxe 699.00 折叠刀（★） | 外表生锈 (破损不堪)max 1078.40 -379.400
折叠刀（★） | 多普勒 (崭新出厂)max 1983.19 折叠刀（★） | 多普勒 (崭新出厂)buff 1430 553.190
折叠刀（★） | 大马士革钢 (久经沙场)max 935.57 折叠刀（★） | 大马士革钢 (久经沙场)buff 699.5 236.070
折叠刀（★） | 大马士革钢 (略有磨损)igxe 835.00 折叠刀（★） | 大马士革钢 (略有磨损)max 1002.60 -167.600
折叠刀（★） | 大马士革钢 (破损不堪)buff 669 折叠刀（★） | 大马士革钢 (破损不堪)max 1032.30 -363.300
折叠刀（★） | 屠夫 (崭新出厂)max 2148.36 折叠刀（★） | 屠夫 (崭新出厂)buff 1550 598.360
折叠刀（★） | 屠夫 (略有磨损)max 1906.86 折叠刀（★） | 屠夫 (略有磨损)buff 1400 506.860
折叠刀（★） | 枯焦之色 (久经沙场)max 684.43 折叠刀（★） | 枯焦之色 (久经沙场)buff 534 150.430
折叠刀（★） | 枯焦之色 (战痕累累)max 738.49 折叠刀（★） | 枯焦之色 (战痕累累)buff 520 218.490
折叠刀（★） | 枯焦之色 (略有磨损)max 986.81 折叠刀（★） | 枯焦之色 (略有磨损)buff 587.49 399.320
折叠刀（★） | 深红之网 (久经沙场)max 1699.68 折叠刀（★） | 深红之网 (久经沙场)buff 1197 502.680
折叠刀（★） | 深红之网 (战痕累累)igxe 840.62 折叠刀（★） | 深红之网 (战痕累累)max 1336.56 -495.940
折叠刀（★） | 深红之网 (略有磨损)max 6447.10 折叠刀（★） | 深红之网 (略有磨损)buff 2245 4202.100
折叠刀（★） | 渐变之色 (崭新出厂)max 3519.37 折叠刀（★） | 渐变之色 (崭新出厂)buff 2599.5 919.870
折叠刀（★） | 渐变大理石 (崭新出厂)max 2671.44 折叠刀（★） | 渐变大理石 (崭新出厂)buff 1897.5 773.940
折叠刀（★） | 渐变大理石 (略有磨损)max 3206.29 折叠刀（★） | 渐变大理石 (略有磨损)buff 1949.5 1256.790
折叠刀（★） | 澄澈之水 (久经沙场)igxe 788.00 折叠刀（★） | 澄澈之水 (久经沙场)max 1065.02 -277.020
折叠刀（★） | 澄澈之水 (崭新出厂)igxe 913.00 折叠刀（★） | 澄澈之水 (崭新出厂)max 1301.37 -388.370
折叠刀（★） | 澄澈之水 (破损不堪)buff 709 折叠刀（★） | 澄澈之水 (破损不堪)max 1038.32 -329.320
折叠刀（★） | 狩猎网格 (久经沙场)max 739.89 折叠刀（★） | 狩猎网格 (久经沙场)buff 525 214.890
折叠刀（★） | 狩猎网格 (战痕累累)max 795.89 折叠刀（★） | 狩猎网格 (战痕累累)buff 519.5 276.390
折叠刀（★） | 狩猎网格 (略有磨损)max 728.65 折叠刀（★） | 狩猎网格 (略有磨损)igxe 550.00 178.650
折叠刀（★） | 自动化 (久经沙场)max 1550.63 折叠刀（★） | 自动化 (久经沙场)buff 1089 461.630
折叠刀（★） | 自动化 (崭新出厂)max 5687.92 折叠刀（★） | 自动化 (崭新出厂)buff 1911 3776.920
折叠刀（★） | 自动化 (战痕累累)igxe 940.00 折叠刀（★） | 自动化 (战痕累累)max 1292.20 -352.200
折叠刀（★） | 自动化 (略有磨损)max 1896.16 折叠刀（★） | 自动化 (略有磨损)igxe 1350.00 546.160
折叠刀（★） | 自由之手 (久经沙场)igxe 784.81 折叠刀（★） | 自由之手 (久经沙场)max 1086.49 -301.680
折叠刀（★） | 自由之手 (崭新出厂)igxe 897.69 折叠刀（★） | 自由之手 (崭新出厂)max 1207.84 -310.150
折叠刀（★） | 自由之手 (略有磨损)igxe 850.00 折叠刀（★） | 自由之手 (略有磨损)max 1030.23 -180.230
折叠刀（★） | 致命紫罗兰 (久经沙场)max 959.85 折叠刀（★） | 致命紫罗兰 (久经沙场)buff 704.8 255.050
折叠刀（★） | 致命紫罗兰 (略有磨损)igxe 990.00 折叠刀（★） | 致命紫罗兰 (略有磨损)max 1353.68 -363.680
折叠刀（★） | 致命紫罗兰 (破损不堪)igxe 680.00 折叠刀（★） | 致命紫罗兰 (破损不堪)max 1028.89 -348.890
折叠刀（★） | 蓝钢 (战痕累累)igxe 688.12 折叠刀（★） | 蓝钢 (战痕累累)max 1043.07 -354.950
折叠刀（★） | 蓝钢 (破损不堪)max 944.27 折叠刀（★） | 蓝钢 (破损不堪)buff 660 284.270
折叠刀（★） | 虎牙 (崭新出厂)max 1992.56 折叠刀（★） | 虎牙 (崭新出厂)buff 1426 566.560
折叠刀（★） | 表面淬火 (久经沙场)buff 894.5 折叠刀（★） | 表面淬火 (久经沙场)max 1324.31 -429.810
折叠刀（★） | 表面淬火 (崭新出厂)max 2963.85 折叠刀（★） | 表面淬火 (崭新出厂)buff 1558 1405.850
折叠刀（★） | 表面淬火 (略有磨损)buff 999 折叠刀（★） | 表面淬火 (略有磨损)igxe 1050.00 -51.000
折叠刀（★） | 表面淬火 (破损不堪)igxe 827.84 折叠刀（★） | 表面淬火 (破损不堪)max 1275.68 -447.840
折叠刀（★） | 都市伪装 (战痕累累)max 754.48 折叠刀（★） | 都市伪装 (战痕累累)buff 532 222.480
折叠刀（★） | 黑色层压板 (久经沙场)igxe 788.88 折叠刀（★） | 黑色层压板 (久经沙场)max 1078.80 -289.920
折叠刀（★） | 黑色层压板 (崭新出厂)max 1537.32 折叠刀（★） | 黑色层压板 (崭新出厂)buff 1019.88 517.440
折叠刀（★） | 黑色层压板 (战痕累累)max 977.58 折叠刀（★） | 黑色层压板 (战痕累累)buff 763.5 214.080
折叠刀（★） | 黑色层压板 (略有磨损)igxe 815.00 折叠刀（★） | 黑色层压板 (略有磨损)max 1265.18 -450.180
折叠刀（★） | 黑色层压板 (破损不堪)igxe 752.99 折叠刀（★） | 黑色层压板 (破损不堪)max 1188.31 -435.320
暗影双匕（★ StatTrak™）buff 750 暗影双匕（★ StatTrak™）max 1213.60 -463.600
暗影双匕（★ StatTrak™） | 传说 (战痕累累)igxe 888.00 暗影双匕（★ StatTrak™） | 传说 (战痕累累)max 1066.69 -178.690
暗影双匕（★ StatTrak™） | 伽玛多普勒 (崭新出厂)buff 900 暗影双匕（★ StatTrak™） | 伽玛多普勒 (崭新出厂)igxe 1100.00 -200.000
暗影双匕（★ StatTrak™） | 外表生锈 (战痕累累)max 499.13 暗影双匕（★ StatTrak™） | 外表生锈 (战痕累累)igxe 375.00 124.130
暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场)igxe 579.99 暗影双匕（★ StatTrak™） | 大马士革钢 (久经沙场)buff 448 131.990
暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂)buff 700 暗影双匕（★ StatTrak™） | 大马士革钢 (崭新出厂)max 1086.89 -386.890
暗影双匕（★ StatTrak™） | 渐变之色 (崭新出厂)max 1756.88 暗影双匕（★ StatTrak™） | 渐变之色 (崭新出厂)igxe 1197.00 559.880
暗影双匕（★ StatTrak™） | 渐变大理石 (崭新出厂)buff 830 暗影双匕（★ StatTrak™） | 渐变大理石 (崭新出厂)max 1096.73 -266.730
暗影双匕（★ StatTrak™） | 澄澈之水 (久经沙场)igxe 799.00 暗影双匕（★ StatTrak™） | 澄澈之水 (久经沙场)buff 410 389.000
暗影双匕（★ StatTrak™） | 致命紫罗兰 (久经沙场)max 670.25 暗影双匕（★ StatTrak™） | 致命紫罗兰 (久经沙场)buff 450 220.250
暗影双匕（★ StatTrak™） | 黑色层压板 (久经沙场)max 560.07 暗影双匕（★ StatTrak™） | 黑色层压板 (久经沙场)buff 434.98 125.090
暗影双匕（★ StatTrak™） | 黑色层压板 (略有磨损)max 859.31 暗影双匕（★ StatTrak™） | 黑色层压板 (略有磨损)buff 499.9 359.410
暗影双匕（★）max 725.71 暗影双匕（★）buff 546.5 179.210
暗影双匕（★） | 人工染色 (久经沙场)max 498.72 暗影双匕（★） | 人工染色 (久经沙场)buff 374.99 123.730
暗影双匕（★） | 人工染色 (崭新出厂)max 785.05 暗影双匕（★） | 人工染色 (崭新出厂)buff 639.99 145.060
暗影双匕（★） | 人工染色 (略有磨损)max 545.29 暗影双匕（★） | 人工染色 (略有磨损)buff 408.99 136.300
暗影双匕（★） | 人工染色 (破损不堪)max 466.68 暗影双匕（★） | 人工染色 (破损不堪)buff 359.9 106.780
暗影双匕（★） | 传说 (久经沙场)max 812.68 暗影双匕（★） | 传说 (久经沙场)buff 613.49 199.190
暗影双匕（★） | 传说 (略有磨损)igxe 749.50 暗影双匕（★） | 传说 (略有磨损)max 1008.62 -259.120
暗影双匕（★） | 伽玛多普勒 (崭新出厂)max 954.84 暗影双匕（★） | 伽玛多普勒 (崭新出厂)igxe 755.00 199.840
暗影双匕（★） | 伽玛多普勒 (略有磨损)buff 918.5 暗影双匕（★） | 伽玛多普勒 (略有磨损)max 1372.15 -453.650
暗影双匕（★） | 噩梦之夜 (久经沙场)max 478.32 暗影双匕（★） | 噩梦之夜 (久经沙场)buff 373.49 104.830
暗影双匕（★） | 噩梦之夜 (略有磨损)max 523.81 暗影双匕（★） | 噩梦之夜 (略有磨损)buff 400 123.810
暗影双匕（★） | 外表生锈 (战痕累累)max 441.53 暗影双匕（★） | 外表生锈 (战痕累累)buff 329 112.530
暗影双匕（★） | 外表生锈 (破损不堪)max 500.60 暗影双匕（★） | 外表生锈 (破损不堪)buff 365 135.600
暗影双匕（★） | 多普勒 (崭新出厂)max 995.24 暗影双匕（★） | 多普勒 (崭新出厂)igxe 719.00 276.240
暗影双匕（★） | 大马士革钢 (久经沙场)max 503.68 暗影双匕（★） | 大马士革钢 (久经沙场)buff 380 123.680
暗影双匕（★） | 大马士革钢 (崭新出厂)max 569.30 暗影双匕（★） | 大马士革钢 (崭新出厂)buff 467.5 101.800
暗影双匕（★） | 大马士革钢 (略有磨损)max 572.98 暗影双匕（★） | 大马士革钢 (略有磨损)buff 408.88 164.100
暗影双匕（★） | 屠夫 (崭新出厂)max 804.78 暗影双匕（★） | 屠夫 (崭新出厂)buff 636.99 167.790
暗影双匕（★） | 屠夫 (略有磨损)max 707.98 暗影双匕（★） | 屠夫 (略有磨损)buff 584 123.980
暗影双匕（★） | 枯焦之色 (战痕累累)max 457.25 暗影双匕（★） | 枯焦之色 (战痕累累)buff 378.2 79.050
暗影双匕（★） | 森林 DDPAT (久经沙场)max 464.87 暗影双匕（★） | 森林 DDPAT (久经沙场)buff 344.5 120.370
暗影双匕（★） | 森林 DDPAT (崭新出厂)max 1162.96 暗影双匕（★） | 森林 DDPAT (崭新出厂)max 1162.96 0.000
暗影双匕（★） | 深红之网 (久经沙场)max 671.99 暗影双匕（★） | 深红之网 (久经沙场)igxe 504.99 167.000
暗影双匕（★） | 深红之网 (略有磨损)igxe 998.00 暗影双匕（★） | 深红之网 (略有磨损)buff 689.5 308.500
暗影双匕（★） | 渐变之色 (崭新出厂)igxe 969.50 暗影双匕（★） | 渐变之色 (崭新出厂)max 1264.57 -295.070
暗影双匕（★） | 渐变大理石 (崭新出厂)max 842.78 暗影双匕（★） | 渐变大理石 (崭新出厂)buff 655.5 187.280
暗影双匕（★） | 渐变大理石 (略有磨损)igxe 850.00 暗影双匕（★） | 渐变大理石 (略有磨损)max 1001.20 -151.200
暗影双匕（★） | 澄澈之水 (久经沙场)max 468.89 暗影双匕（★） | 澄澈之水 (久经沙场)buff 374 94.890
暗影双匕（★） | 澄澈之水 (崭新出厂)max 542.21 暗影双匕（★） | 澄澈之水 (崭新出厂)buff 419 123.210
暗影双匕（★） | 澄澈之水 (略有磨损)max 534.98 暗影双匕（★） | 澄澈之水 (略有磨损)buff 394.88 140.100
暗影双匕（★） | 狩猎网格 (久经沙场)max 437.31 暗影双匕（★） | 狩猎网格 (久经沙场)igxe 344.50 92.810
暗影双匕（★） | 狩猎网格 (略有磨损)max 482.20 暗影双匕（★） | 狩猎网格 (略有磨损)buff 360.99 121.210
