M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)max 2305.13 M9 刺刀（★ StatTrak™） | 人工染色 (略有磨损)buff 1570 735.130
M9 刺刀（★） | 枯焦之色 (略有磨损)max 1786.58 M9 刺刀（★） | 枯焦之色 (略有磨损)buff 1294.5 492.080
M9 刺刀（★） | 枯焦之色 (破损不堪)max 3108.95 M9 刺刀（★） | 枯焦之色 (破损不堪)igxe 1200.00 1908.950
M9 刺刀（★） | 森林 DDPAT (久经沙场)max 1682.55 M9 刺刀（★） | 森林 DDPAT (久经沙场)buff 1249 433.550
M9 刺刀（★） | 森林 DDPAT (略有磨损)max 2056.18 M9 刺刀（★） | 森林 DDPAT (略有磨损)igxe 1465.00 591.180
M9 刺刀（★） | 深红之网 (久经沙场)max 2998.17 M9 刺刀（★） | 深红之网 (久经沙场)buff 2400 598.170
M9 刺刀（★） | 深红之网 (崭新出厂)igxe 45000.00 M9 刺刀（★） | 深红之网 (崭新出厂)buff 38888 6112.000
M9 刺刀（★） | 深红之网 (战痕累累)max 4371.12 M9 刺刀（★） | 深红之网 (战痕累累)buff 1996.45 2374.670
M9 刺刀（★） | 深红之网 (略有磨损)max 9918.37 M9 刺刀（★） | 深红之网 (略有磨损)buff 6659.5 3258.870
M9 刺刀（★） | 深红之网 (破损不堪)max 3736.99 M9 刺刀（★） | 深红之网 (破损不堪)igxe 2013.96 1723.030
M9 刺刀（★） | 渐变之色 (崭新出厂)max 7078.95 M9 刺刀（★） | 渐变之色 (崭新出厂)buff 5390 1688.950
M9 刺刀（★） | 渐变大理石 (崭新出厂)max 8075.06 M9 刺刀（★） | 渐变大理石 (崭新出厂)buff 5145 2930.060
M9 刺刀（★） | 澄澈之水 (久经沙场)max 2556.91 M9 刺刀（★） | 澄澈之水 (久经沙场)buff 1775 781.910
M9 刺刀（★） | 澄澈之水 (崭新出厂)max 3861.89 M9 刺刀（★） | 澄澈之水 (崭新出厂)buff 2307.4 1554.490
M9 刺刀（★） | 澄澈之水 (略有磨损)max 4146.27 M9 刺刀（★） | 澄澈之水 (略有磨损)buff 2050 2096.270
M9 刺刀（★） | 狩猎网格 (久经沙场)max 1432.29 M9 刺刀（★） | 狩猎网格 (久经沙场)buff 1211.5 220.790
M9 刺刀（★） | 狩猎网格 (略有磨损)max 1913.28 M9 刺刀（★） | 狩猎网格 (略有磨损)buff 1300 613.280
M9 刺刀（★） | 自动化 (久经沙场)max 4379.08 M9 刺刀（★） | 自动化 (久经沙场)buff 3230 1149.080
M9 刺刀（★） | 自动化 (崭新出厂)igxe 5648.00 M9 刺刀（★） | 自动化 (崭新出厂)max 10112.84 -4464.840
M9 刺刀（★） | 自动化 (战痕累累)max 4012.81 M9 刺刀（★） | 自动化 (战痕累累)buff 2689 1323.810
M9 刺刀（★） | 自动化 (略有磨损)max 5439.15 M9 刺刀（★） | 自动化 (略有磨损)buff 3970 1469.150
M9 刺刀（★） | 自由之手 (久经沙场)max 2356.42 M9 刺刀（★） | 自由之手 (久经沙场)buff 1714 642.420
M9 刺刀（★） | 自由之手 (崭新出厂)max 2836.28 M9 刺刀（★） | 自由之手 (崭新出厂)buff 2069 767.280
M9 刺刀（★） | 自由之手 (略有磨损)max 2461.65 M9 刺刀（★） | 自由之手 (略有磨损)buff 1899 562.650
M9 刺刀（★） | 致命紫罗兰 (久经沙场)max 2110.57 M9 刺刀（★） | 致命紫罗兰 (久经沙场)buff 1545 565.570
M9 刺刀（★） | 致命紫罗兰 (战痕累累)max 2137.26 M9 刺刀（★） | 致命紫罗兰 (战痕累累)buff 1414 723.260
M9 刺刀（★） | 致命紫罗兰 (略有磨损)max 3039.51 M9 刺刀（★） | 致命紫罗兰 (略有磨损)buff 2331 708.510
M9 刺刀（★） | 蓝钢 (久经沙场)max 2175.66 M9 刺刀（★） | 蓝钢 (久经沙场)buff 1749.5 426.160
M9 刺刀（★） | 蓝钢 (战痕累累)max 2364.71 M9 刺刀（★） | 蓝钢 (战痕累累)buff 1770 594.710
M9 刺刀（★） | 蓝钢 (略有磨损)max 3033.83 M9 刺刀（★） | 蓝钢 (略有磨损)igxe 1879.34 1154.490
M9 刺刀（★） | 蓝钢 (破损不堪)max 2338.82 M9 刺刀（★） | 蓝钢 (破损不堪)buff 1723.08 615.740
M9 刺刀（★） | 虎牙 (崭新出厂)max 4500.77 M9 刺刀（★） | 虎牙 (崭新出厂)buff 3530 970.770
M9 刺刀（★） | 虎牙 (略有磨损)max 5865.42 M9 刺刀（★） | 虎牙 (略有磨损)buff 3448 2417.420
M9 刺刀（★） | 表面淬火 (久经沙场)max 2803.90 M9 刺刀（★） | 表面淬火 (久经沙场)buff 1979 824.900
M9 刺刀（★） | 表面淬火 (战痕累累)max 2480.98 M9 刺刀（★） | 表面淬火 (战痕累累)buff 1693 787.980
M9 刺刀（★） | 表面淬火 (略有磨损)max 3294.13 M9 刺刀（★） | 表面淬火 (略有磨损)buff 2262.8 1031.330
M9 刺刀（★） | 都市伪装 (久经沙场)max 1717.74 M9 刺刀（★） | 都市伪装 (久经沙场)buff 1240 477.740
M9 刺刀（★） | 黑色层压板 (战痕累累)max 3772.18 M9 刺刀（★） | 黑色层压板 (战痕累累)buff 2428 1344.180
M9 刺刀（★） | 黑色层压板 (略有磨损)max 3605.80 M9 刺刀（★） | 黑色层压板 (略有磨损)igxe 2656.00 949.800
M9 刺刀（★） | 黑色层压板 (破损不堪)max 3749.50 M9 刺刀（★） | 黑色层压板 (破损不堪)buff 2409 1340.500
刺刀（★ StatTrak™）max 3809.71 刺刀（★ StatTrak™）buff 2460 1349.710
刺刀（★ StatTrak™） | 人工染色 (破损不堪)max 1919.04 刺刀（★ StatTrak™） | 人工染色 (破损不堪)buff 1150 769.040
刺刀（★ StatTrak™） | 传说 (久经沙场)max 3410.66 刺刀（★ StatTrak™） | 传说 (久经沙场)buff 2320 1090.660
刺刀（★ StatTrak™） | 传说 (略有磨损)max 6402.14 刺刀（★ StatTrak™） | 传说 (略有磨损)buff 3849 2553.140
刺刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)max 4728.62 刺刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)buff 3050 1678.620
刺刀（★ StatTrak™） | 多普勒 (崭新出厂)max 3331.79 刺刀（★ StatTrak™） | 多普勒 (崭新出厂)buff 2457.5 874.290
刺刀（★ StatTrak™） | 大马士革钢 (久经沙场)max 2207.37 刺刀（★ StatTrak™） | 大马士革钢 (久经沙场)buff 1275 932.370
刺刀（★ StatTrak™） | 大马士革钢 (略有磨损)max 2269.11 刺刀（★ StatTrak™） | 大马士革钢 (略有磨损)buff 1499 770.110
刺刀（★ StatTrak™） | 屠夫 (久经沙场)max 2325.91 刺刀（★ StatTrak™） | 屠夫 (久经沙场)buff 1978 347.910
刺刀（★ StatTrak™） | 深红之网 (略有磨损)max 9884.36 刺刀（★ StatTrak™） | 深红之网 (略有磨损)buff 2785 7099.360
刺刀（★ StatTrak™） | 澄澈之水 (久经沙场)max 1860.77 刺刀（★ StatTrak™） | 澄澈之水 (久经沙场)buff 1150 710.770
刺刀（★ StatTrak™） | 澄澈之水 (崭新出厂)max 2894.08 刺刀（★ StatTrak™） | 澄澈之水 (崭新出厂)buff 1630 1264.080
刺刀（★ StatTrak™） | 澄澈之水 (略有磨损)max 4105.99 刺刀（★ StatTrak™） | 澄澈之水 (略有磨损)buff 1379 2726.990
刺刀（★ StatTrak™） | 狩猎网格 (战痕累累)max 1483.26 刺刀（★ StatTrak™） | 狩猎网格 (战痕累累)max 1483.26 0.000
刺刀（★ StatTrak™） | 狩猎网格 (略有磨损)max 1526.48 刺刀（★ StatTrak™） | 狩猎网格 (略有磨损)buff 1050 476.480
刺刀（★ StatTrak™） | 自动化 (久经沙场)max 3101.26 刺刀（★ StatTrak™） | 自动化 (久经沙场)buff 2134.5 966.760
刺刀（★ StatTrak™） | 自动化 (略有磨损)max 4408.78 刺刀（★ StatTrak™） | 自动化 (略有磨损)buff 2700 1708.780
刺刀（★ StatTrak™） | 自由之手 (略有磨损)max 2348.92 刺刀（★ StatTrak™） | 自由之手 (略有磨损)buff 1540 808.920
刺刀（★ StatTrak™） | 虎牙 (崭新出厂)max 3741.74 刺刀（★ StatTrak™） | 虎牙 (崭新出厂)buff 2399.99 1341.750
