2785,刺刀（★ StatTrak™） | 深红之网 (略有磨损)
1150,刺刀（★ StatTrak™） | 澄澈之水 (久经沙场)
1630,刺刀（★ StatTrak™） | 澄澈之水 (崭新出厂)
1379,刺刀（★ StatTrak™） | 澄澈之水 (略有磨损)
1050,刺刀（★ StatTrak™） | 狩猎网格 (略有磨损)
2134.5,刺刀（★ StatTrak™） | 自动化 (久经沙场)
2700,刺刀（★ StatTrak™） | 自动化 (略有磨损)
1540,刺刀（★ StatTrak™） | 自由之手 (略有磨损)
2399.99,刺刀（★ StatTrak™） | 虎牙 (崭新出厂)
1758,刺刀（★ StatTrak™） | 表面淬火 (久经沙场)
2459.49,刺刀（★）
1070,刺刀（★） | 人工染色 (久经沙场)
1150,刺刀（★） | 人工染色 (略有磨损)
2371.77,刺刀（★） | 传说 (久经沙场)
3725,刺刀（★） | 传说 (略有磨损)
2034,刺刀（★） | 传说 (破损不堪)
2840,刺刀（★） | 伽玛多普勒 (崭新出厂)
820,刺刀（★） | 北方森林 (战痕累累)
980,刺刀（★） | 北方森林 (略有磨损)
821.5,刺刀（★） | 北方森林 (破损不堪)
915.9,刺刀（★） | 噩梦之夜 (久经沙场)
930,刺刀（★） | 噩梦之夜 (战痕累累)
995.38,刺刀（★） | 外表生锈 (战痕累累)
2190,刺刀（★） | 多普勒 (崭新出厂)
2283.99,刺刀（★） | 多普勒 (略有磨损)
1264,刺刀（★） | 大马士革钢 (久经沙场)
1565,刺刀（★） | 大马士革钢 (崭新出厂)
1425,刺刀（★） | 大马士革钢 (略有磨损)
1684.5,刺刀（★） | 屠夫 (久经沙场)
2029,刺刀（★） | 屠夫 (略有磨损)
822.5,刺刀（★） | 枯焦之色 (战痕累累)
900,刺刀（★） | 枯焦之色 (略有磨损)
814.5,刺刀（★） | 森林 DDPAT (久经沙场)
955,刺刀（★） | 森林 DDPAT (略有磨损)
1334,刺刀（★） | 深红之网 (久经沙场)
1299.4,刺刀（★） | 深红之网 (战痕累累)
2323,刺刀（★） | 深红之网 (略有磨损)
1294,刺刀（★） | 深红之网 (破损不堪)
3448.5,刺刀（★） | 渐变之色 (崭新出厂)
3040,刺刀（★） | 渐变大理石 (崭新出厂)
1159,刺刀（★） | 澄澈之水 (久经沙场)
1559.5,刺刀（★） | 澄澈之水 (崭新出厂)
1111,刺刀（★） | 澄澈之水 (战痕累累)
1388,刺刀（★） | 澄澈之水 (略有磨损)
1101,刺刀（★） | 澄澈之水 (破损不堪)
814,刺刀（★） | 狩猎网格 (久经沙场)
2126.5,刺刀（★） | 自动化 (久经沙场)
4000,刺刀（★） | 自动化 (崭新出厂)
1747.5,刺刀（★） | 自动化 (战痕累累)
2628.5,刺刀（★） | 自动化 (略有磨损)
1283,刺刀（★） | 自由之手 (久经沙场)
1627,刺刀（★） | 自由之手 (崭新出厂)
1490,刺刀（★） | 自由之手 (略有磨损)
1110,刺刀（★） | 自由之手 (破损不堪)
922,刺刀（★） | 致命紫罗兰 (久经沙场)
900,刺刀（★） | 致命紫罗兰 (战痕累累)
1279.9,刺刀（★） | 致命紫罗兰 (略有磨损)
897.5,刺刀（★） | 致命紫罗兰 (破损不堪)
1175,刺刀（★） | 蓝钢 (久经沙场)
1099.5,刺刀（★） | 蓝钢 (战痕累累)
1258.5,刺刀（★） | 蓝钢 (略有磨损)
1110,刺刀（★） | 蓝钢 (破损不堪)
2309.5,刺刀（★） | 虎牙 (崭新出厂)
2270,刺刀（★） | 虎牙 (略有磨损)
1509.5,刺刀（★） | 表面淬火 (久经沙场)
1739,刺刀（★） | 表面淬火 (略有磨损)
1350,刺刀（★） | 表面淬火 (破损不堪)
831,刺刀（★） | 都市伪装 (久经沙场)
815,刺刀（★） | 都市伪装 (战痕累累)
974.99,刺刀（★） | 都市伪装 (略有磨损)
820.8,刺刀（★） | 都市伪装 (破损不堪)
1350,刺刀（★） | 黑色层压板 (久经沙场)
1339.5,刺刀（★） | 黑色层压板 (战痕累累)
1440,刺刀（★） | 黑色层压板 (略有磨损)
1301,刺刀（★） | 黑色层压板 (破损不堪)
673,弯刀（★ StatTrak™）
565,弯刀（★ StatTrak™） | 人工染色 (略有磨损)
1058.9,弯刀（★ StatTrak™） | 传说 (略有磨损)
1362,弯刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)
900,弯刀（★ StatTrak™） | 大马士革钢 (崭新出厂)
440,弯刀（★ StatTrak™） | 枯焦之色 (战痕累累)
475,弯刀（★ StatTrak™） | 森林 DDPAT (久经沙场)
1260,弯刀（★ StatTrak™） | 渐变之色 (崭新出厂)
642,弯刀（★ StatTrak™） | 澄澈之水 (略有磨损)
529.98,弯刀（★ StatTrak™） | 澄澈之水 (破损不堪)
400,弯刀（★ StatTrak™） | 狩猎网格 (久经沙场)
798.97,弯刀（★ StatTrak™） | 自动化 (久经沙场)
532,弯刀（★ StatTrak™） | 致命紫罗兰 (久经沙场)
697.9,弯刀（★ StatTrak™） | 蓝钢 (久经沙场)
494.87,弯刀（★ StatTrak™） | 都市伪装 (战痕累累)
529.5,弯刀（★ StatTrak™） | 黑色层压板 (战痕累累)
602.9,弯刀（★ StatTrak™） | 黑色层压板 (略有磨损)
568.3,弯刀（★）
398.99,弯刀（★） | 人工染色 (久经沙场)
409.94,弯刀（★） | 人工染色 (战痕累累)
438.7,弯刀（★） | 人工染色 (略有磨损)
1109,弯刀（★） | 传说 (崭新出厂)
895,弯刀（★） | 传说 (略有磨损)
760,弯刀（★） | 传说 (破损不堪)
1229.9,弯刀（★） | 伽玛多普勒 (崭新出厂)
1333.97,弯刀（★） | 伽玛多普勒 (略有磨损)
395.95,弯刀（★） | 北方森林 (战痕累累)
410.49,弯刀（★） | 噩梦之夜 (战痕累累)
396.5,弯刀（★） | 外表生锈 (战痕累累)
449.49,弯刀（★） | 外表生锈 (破损不堪)
1174,弯刀（★） | 多普勒 (崭新出厂)
557.5,弯刀（★） | 大马士革钢 (久经沙场)
691.5,弯刀（★） | 大马士革钢 (崭新出厂)
537,弯刀（★） | 大马士革钢 (破损不堪)
919,弯刀（★） | 屠夫 (崭新出厂)
